order_id,customer_id,customer_name,order_date,product_category,product_subcategory,product_name,quantity,unit_price,discount,shipping_cost,payment_method,shipping_mode,city,state,region,order_status,customer_age,customer_gender,revenue,gross_revenue,discount_amount,net_revenue,profit_margin,year,month,month_name,quarter,week,day_of_week,is_weekend,is_delivered,is_returned
ORD00015,CUST0449,Customer_449,2024-10-05,Home & Kitchen,Decor,Decor Item 9,3.0,25948.52,0.39,326.99,UPI,Standard,Bengaluru,Karnataka,South,Delivered,27.0,Other,47485.79,77845.56,30359.77,47158.8,0.6058,2024,10,Oct,4,40,Saturday,True,1,0
ORD00016,CUST0704,Customer_704,2024-11-20,Clothing,Kids,Kids Item 9,3.0,25295.18,0.1,454.08,Wallet,Same Day,Hyderabad,Telangana,South,Delivered,53.0,Other,68296.99,75885.54,7588.55,67842.91,0.894,2024,11,Nov,4,47,Wednesday,False,1,0
ORD00017,CUST0708,Customer_708,2024-03-17,Electronics,Smartphones,Smartphones Item 3,5.0,1849.61,0.15,276.26,UPI,Express,Delhi,Delhi,North,Pending,24.0,Other,7860.84,9248.05,1387.21,7584.58,0.8201,2024,3,Mar,1,11,Sunday,True,0,0
ORD00018,CUST0243,Customer_243,2024-03-24,Books,Self-Help,Self-Help Item 18,2.0,44076.74,0.01,368.28,Debit Card,Standard,Bengaluru,Karnataka,South,Returned,48.0,Female,87271.95,88153.48,881.53,86903.67,0.9858,2024,3,Mar,1,12,Sunday,True,0,1
ORD00019,CUST0229,Customer_229,2024-01-13,Home & Kitchen,Decor,Decor Item 22,2.0,19953.38,0.11,34.71,Credit Card,Standard,Hyderabad,Telangana,South,Delivered,34.0,Other,35517.02,39906.76,4389.74,35482.31,0.8891,2024,1,Jan,1,2,Saturday,True,1,0
ORD00020,CUST0447,Customer_447,2024-11-06,Books,Academic,Academic Item 48,5.0,5826.51,0.36,95.04,Wallet,Express,Kolkata,West Bengal,East,Delivered,60.0,Other,18644.83,29132.55,10487.72,18549.79,0.6367,2024,11,Nov,4,45,Wednesday,False,1,0
ORD00021,CUST0520,Customer_520,2024-06-07,Home & Kitchen,Cookware,Cookware Item 37,4.0,16342.84,0.28,277.21,UPI,Economy,Chennai,Tamil Nadu,South,Cancelled,37.0,Female,47067.38,65371.36,18303.98,46790.17,0.7158,2024,6,Jun,2,23,Friday,False,0,0
ORD00022,CUST0477,Customer_477,2024-08-14,Sports,Cycling,Cycling Item 40,4.0,33797.58,0.2,396.87,UPI,Standard,Kolkata,West Bengal,East,Delivered,32.0,Male,108152.26,135190.32,27038.06,107755.39,0.7971,2024,8,Aug,3,33,Wednesday,False,1,0
ORD00023,CUST0487,Customer_487,2024-11-08,Electronics,Smartphones,Smartphones Item 49,1.0,22798.04,0.35,287.84,Credit Card,Economy,Hyderabad,Telangana,South,Delivered,62.0,Male,14818.73,22798.04,7979.31,14530.89,0.6374,2024,11,Nov,4,45,Friday,False,1,0
ORD00024,CUST0468,Customer_468,2024-03-09,Sports,Cricket,Cricket Item 36,4.0,33395.51,0.4,297.73,Net Banking,Express,Delhi,Delhi,North,Pending,46.0,Male,80149.22,133582.04,53432.82,79851.49,0.5978,2024,3,Mar,1,10,Saturday,True,0,0
ORD00025,CUST0497,Customer_497,2024-11-16,Beauty,Makeup,Makeup Item 45,2.0,13766.14,0.03,142.86,Debit Card,Express,Jaipur,Rajasthan,North,Delivered,39.0,Female,26706.31,27532.28,825.97,26563.45,0.9648,2024,11,Nov,4,46,Saturday,True,1,0
ORD00026,CUST0399,Customer_399,2024-10-26,Electronics,Laptops,Laptops Item 27,1.0,25928.08,0.31,190.19,Cash on Delivery,Express,Pune,Maharashtra,West,Returned,45.0,Female,17890.38,25928.08,8037.7,17700.19,0.6827,2024,10,Oct,4,43,Saturday,True,0,1
ORD00027,CUST0479,Customer_479,2024-03-06,Home & Kitchen,Appliances,Appliances Item 17,5.0,26729.48,0.36,295.95,Net Banking,Same Day,Bengaluru,Karnataka,South,Delivered,39.0,Female,85534.34,133647.4,48113.06,85238.39,0.6378,2024,3,Mar,1,10,Wednesday,False,1,0
ORD00028,CUST0084,Customer_84,2024-08-28,Home & Kitchen,Appliances,Appliances Item 16,1.0,37463.76,0.02,475.96,Debit Card,Standard,Chennai,Tamil Nadu,South,Cancelled,26.0,Male,36714.48,37463.76,749.28,36238.52,0.9673,2024,8,Aug,3,35,Wednesday,False,0,0
ORD00029,CUST0717,Customer_717,2024-05-11,Sports,Cricket,Cricket Item 20,3.0,8431.07,0.24,373.96,Cash on Delivery,Economy,Ahmedabad,Gujarat,West,Returned,30.0,Other,19222.84,25293.21,6070.37,18848.88,0.7452,2024,5,May,2,19,Saturday,True,0,1
ORD00030,CUST0714,Customer_714,2024-06-03,Beauty,Haircare,Haircare Item 1,5.0,40286.12,0.32,282.97,Net Banking,Economy,Delhi,Delhi,North,Delivered,41.0,Female,136972.81,201430.6,64457.79,136689.84,0.6786,2024,6,Jun,2,23,Monday,False,1,0
ORD00031,CUST0181,Customer_181,2024-09-24,Beauty,Haircare,Haircare Item 6,3.0,30814.82,0.37,387.32,UPI,Economy,Pune,Maharashtra,West,Delivered,54.0,Female,58240.01,92444.46,34204.45,57852.69,0.6258,2024,9,Sep,3,39,Tuesday,False,1,0
ORD00032,CUST0333,Customer_333,2024-04-03,Home & Kitchen,Cookware,Cookware Item 47,4.0,74154.525,0.32,170.17,Net Banking,Economy,Ahmedabad,Gujarat,West,Cancelled,62.0,Other,201700.31,296618.1,94917.79,201530.14,0.6794,2024,4,Apr,2,14,Wednesday,False,0,0
ORD00033,CUST0096,Customer_96,2024-05-30,Books,Comics,Comics Item 23,2.0,20249.84,0.1,331.98,Wallet,Economy,Mumbai,Maharashtra,West,Delivered,32.0,Male,36449.71,40499.68,4049.97,36117.73,0.8918,2024,5,May,2,22,Thursday,False,1,0
ORD00034,CUST0781,Customer_781,2024-12-19,Home & Kitchen,Cookware,Cookware Item 19,2.0,9617.47,0.3,138.25,Debit Card,Same Day,Jaipur,Rajasthan,North,Delivered,63.0,Female,13464.46,19234.94,5770.48,13326.21,0.6928,2024,12,Dec,4,51,Thursday,False,1,0
ORD00035,CUST0300,Customer_300,2024-12-23,Electronics,Smartphones,Smartphones Item 17,2.0,25928.08,0.3,51.29,Net Banking,Standard,Jaipur,Rajasthan,North,Delivered,22.0,Other,36299.31,51856.16,15556.85,36248.02,0.699,2024,12,Dec,4,52,Monday,False,1,0
ORD00036,CUST0577,Customer_577,2024-06-04,Electronics,Laptops,Laptops Item 29,1.0,49696.21,0.05,382.22,UPI,Economy,Bengaluru,Karnataka,South,Delivered,21.0,Other,47211.4,49696.21,2484.81,46829.18,0.9423,2024,6,Jun,2,23,Tuesday,False,1,0
ORD00037,CUST0271,Customer_271,2024-12-04,Electronics,Laptops,Laptops Item 46,1.0,25928.08,0.07,37.53,UPI,Economy,Hyderabad,Telangana,South,Delivered,34.0,Other,24113.11,25928.08,1814.97,24075.58,0.9286,2024,12,Dec,4,49,Wednesday,False,1,0
ORD00038,CUST0118,Customer_118,2024-10-05,Sports,Cricket,Cricket Item 19,2.0,32399.35,0.36,413.32,Net Banking,Standard,Pune,Maharashtra,West,Returned,62.0,Female,41471.17,64798.7,23327.53,41057.85,0.6336,2024,10,Oct,4,40,Saturday,True,0,1
ORD00039,CUST0449,Customer_449,2024-02-11,Sports,Cycling,Cycling Item 2,5.0,2041.05,0.17,161.16,Wallet,Same Day,Ahmedabad,Gujarat,West,Cancelled,29.0,Other,8470.36,10205.25,1734.89,8309.2,0.8142,2024,2,Feb,1,6,Sunday,True,0,0
ORD00040,CUST0600,Customer_600,2024-08-11,Books,Academic,Academic Item 43,4.0,48454.31,0.19,204.17,Net Banking,Standard,Bengaluru,Karnataka,South,Returned,34.0,Female,156991.96,193817.24,36825.28,156787.79,0.8089,2024,8,Aug,3,32,Sunday,True,0,1
ORD00041,CUST0474,Customer_474,2024-07-30,Sports,Fitness,Fitness Item 29,1.0,9419.75,0.14,378.22,Wallet,Economy,Jaipur,Rajasthan,North,Delivered,58.0,Male,8100.98,9419.75,1318.77,7722.76,0.8198,2024,7,Jul,3,31,Tuesday,False,1,0
ORD00042,CUST0565,Customer_565,2024-01-08,Beauty,Haircare,Haircare Item 19,5.0,20429.13,0.09,420.7,Cash on Delivery,Same Day,Chennai,Tamil Nadu,South,Returned,48.0,Other,92952.54,102145.65,9193.11,92531.84,0.9059,2024,1,Jan,1,2,Monday,False,0,1
ORD00043,CUST0614,Customer_614,2024-09-17,Clothing,Footwear,Footwear Item 20,2.0,43208.15,0.11,395.0,Cash on Delivery,Economy,Hyderabad,Telangana,South,Delivered,48.0,Other,76910.51,86416.3,9505.79,76515.51,0.8854,2024,9,Sep,3,38,Tuesday,False,1,0
ORD00044,CUST0330,Customer_330,2024-04-06,Sports,Swimming,Swimming Item 43,2.0,28611.29,0.09,387.77,Wallet,Express,Ahmedabad,Gujarat,West,Returned,26.0,Other,52072.55,57222.58,5150.03,51684.78,0.9032,2024,4,Apr,2,14,Saturday,True,0,1
ORD00045,CUST0103,Customer_103,2024-09-26,Home & Kitchen,Cookware,Cookware Item 26,4.0,816.61,0.06,435.47,Wallet,Standard,Ahmedabad,Gujarat,West,Delivered,52.0,Female,3070.45,3266.44,195.99,2634.98,0.8067,2024,9,Sep,3,39,Thursday,False,1,0
ORD00046,CUST0037,Customer_37,2024-11-12,Beauty,Fragrances,Fragrances Item 7,1.0,11776.77,0.27,143.69,Net Banking,Express,Jaipur,Rajasthan,North,Pending,19.0,Male,8597.04,11776.77,3179.73,8453.35,0.7178,2024,11,Nov,4,46,Tuesday,False,0,0
ORD00047,CUST0442,Customer_442,2024-03-15,Home & Kitchen,Decor,Decor Item 38,2.0,26581.76,0.23,396.26,Debit Card,Express,Kolkata,West Bengal,East,Returned,47.0,Male,40935.91,53163.52,12227.61,40539.65,0.7625,2024,3,Mar,1,11,Friday,False,0,1
ORD00048,CUST0162,Customer_162,2024-02-07,Books,Academic,Academic Item 31,4.0,47264.52,0.4,149.58,Credit Card,Express,Jaipur,Rajasthan,North,Returned,54.0,Other,113434.85,189058.08,75623.23,113285.27,0.5992,2024,2,Feb,1,6,Wednesday,False,0,1
ORD00049,CUST0282,Customer_282,2024-01-05,Home & Kitchen,Cookware,Cookware Item 15,5.0,43260.12,0.31,486.8,Cash on Delivery,Same Day,Pune,Maharashtra,West,Delivered,57.0,Other,149247.41,216300.6,67053.19,148760.61,0.6877,2024,1,Jan,1,1,Friday,False,1,0
ORD00050,CUST0643,Customer_643,2024-11-26,Beauty,Haircare,Haircare Item 9,1.0,15481.2,0.18,289.79,Cash on Delivery,Same Day,Delhi,Delhi,North,Cancelled,35.0,Female,12694.58,15481.2,2786.62,12404.79,0.8013,2024,11,Nov,4,48,Tuesday,False,0,0
ORD00051,CUST0118,Customer_118,2024-08-27,Books,Academic,Academic Item 26,1.0,7080.81,0.39,430.07,Credit Card,Same Day,Kolkata,West Bengal,East,Cancelled,41.0,Other,4319.29,7080.81,2761.52,3889.22,0.5493,2024,8,Aug,3,35,Tuesday,False,0,0
ORD00052,CUST0654,Customer_654,2024-07-09,Home & Kitchen,Bedding,Bedding Item 30,1.0,33758.09,0.19,309.77,Wallet,Same Day,Pune,Maharashtra,West,Pending,26.0,Male,27344.05,33758.09,6414.04,27034.28,0.8008,2024,7,Jul,3,28,Tuesday,False,0,0
ORD00053,CUST0100,Customer_100,2024-04-30,Home & Kitchen,Appliances,Appliances Item 27,5.0,6826.42,0.18,335.24,Wallet,Standard,Delhi,Delhi,North,Returned,35.0,Female,27988.32,34132.1,6143.78,27653.08,0.8102,2024,4,Apr,2,18,Tuesday,False,0,1
ORD00054,CUST0242,Customer_242,2024-07-04,Clothing,Footwear,Footwear Item 30,1.0,49047.34,0.15,450.85,Credit Card,Express,Ahmedabad,Gujarat,West,Pending,19.0,Female,41690.24,49047.34,7357.1,41239.39,0.8408,2024,7,Jul,3,27,Thursday,False,0,0
ORD00055,CUST0211,Customer_211,2024-02-05,Clothing,Women's Wear,Women's Wear Item 9,5.0,74154.525,0.09,434.85,Cash on Delivery,Same Day,Lucknow,Uttar Pradesh,North,Delivered,19.0,Female,337403.09,370772.62,33369.53,336968.24,0.9088,2024,2,Feb,1,6,Monday,False,1,0
ORD00056,CUST0017,Customer_17,2024-03-30,Clothing,Accessories,Accessories Item 33,3.0,2667.33,0.3,263.04,Debit Card,Standard,Kolkata,West Bengal,East,Pending,60.0,Female,5601.39,8001.99,2400.6,5338.35,0.6671,2024,3,Mar,1,13,Saturday,True,0,0
ORD00057,CUST0491,Customer_491,2024-07-24,Beauty,Skincare,Skincare Item 41,4.0,34320.57,0.2,454.85,Cash on Delivery,Same Day,Mumbai,Maharashtra,West,Returned,51.0,Other,109825.82,137282.28,27456.46,109370.97,0.7967,2024,7,Jul,3,30,Wednesday,False,0,1
ORD00058,CUST0719,Customer_719,2024-02-28,Sports,Swimming,Swimming Item 28,5.0,36055.95,0.09,225.78,UPI,Same Day,Delhi,Delhi,North,Delivered,61.0,Male,164054.57,180279.75,16225.18,163828.79,0.9087,2024,2,Feb,1,9,Wednesday,False,1,0
ORD00059,CUST0443,Customer_443,2024-02-19,Electronics,Smartphones,Smartphones Item 49,3.0,40597.88,0.22,293.23,Net Banking,Standard,Delhi,Delhi,North,Delivered,40.0,Other,94999.04,121793.64,26794.6,94705.81,0.7776,2024,2,Feb,1,8,Monday,False,1,0
ORD00060,CUST0230,Customer_230,2024-02-25,Clothing,Women's Wear,Women's Wear Item 40,3.0,42276.4,0.15,381.3,Wallet,Standard,Ahmedabad,Gujarat,West,Cancelled,62.0,Male,107804.82,126829.2,19024.38,107423.52,0.847,2024,2,Feb,1,8,Sunday,True,0,0
ORD00061,CUST0360,Customer_360,2024-01-04,Home & Kitchen,Decor,Decor Item 27,2.0,43499.64,0.23,200.39,Net Banking,Same Day,Kolkata,West Bengal,East,Delivered,64.0,Other,66989.45,86999.28,20009.83,66789.06,0.7677,2024,1,Jan,1,1,Thursday,False,1,0
ORD00062,CUST0160,Customer_160,2024-03-21,Sports,Fitness,Fitness Item 23,5.0,2535.64,0.03,221.56,Net Banking,Standard,Mumbai,Maharashtra,West,Delivered,55.0,Other,12297.85,12678.2,380.35,12076.29,0.9525,2024,3,Mar,1,12,Thursday,False,1,0
ORD00063,CUST0405,Customer_405,2024-11-02,Home & Kitchen,Cookware,Cookware Item 25,1.0,74154.525,0.12,105.62,Cash on Delivery,Express,Hyderabad,Telangana,South,Cancelled,60.0,Male,65255.98,74154.52,8898.54,65150.36,0.8786,2024,11,Nov,4,44,Saturday,True,0,0
ORD00064,CUST0020,Customer_20,2024-08-23,Books,Fiction,Fiction Item 40,1.0,43112.4,0.23,286.7,Net Banking,Same Day,Pune,Maharashtra,West,Delivered,24.0,Other,33196.55,43112.4,9915.85,32909.85,0.7633,2024,8,Aug,3,34,Friday,False,1,0
ORD00065,CUST0406,Customer_406,2024-06-07,Books,Self-Help,Self-Help Item 42,3.0,11117.52,0.31,38.19,Debit Card,Express,Delhi,Delhi,North,Delivered,30.0,Male,23013.27,33352.56,10339.29,22975.08,0.6889,2024,6,Jun,2,23,Friday,False,1,0
ORD00066,CUST0792,Customer_792,2024-11-17,Beauty,Skincare,Skincare Item 41,4.0,23224.46,0.23,289.73,UPI,Express,Bengaluru,Karnataka,South,Returned,46.0,Female,71531.34,92897.84,21366.5,71241.61,0.7669,2024,11,Nov,4,46,Sunday,True,0,1
ORD00067,CUST0520,Customer_520,2024-02-07,Sports,Fitness,Fitness Item 25,3.0,23114.04,0.02,184.37,Net Banking,Standard,Kolkata,West Bengal,East,Returned,54.0,Female,67955.28,69342.12,1386.84,67770.91,0.9773,2024,2,Feb,1,6,Wednesday,False,0,1
ORD00068,CUST0155,Customer_155,2024-02-01,Sports,Swimming,Swimming Item 29,4.0,5219.92,0.36,171.72,Cash on Delivery,Express,Jaipur,Rajasthan,North,Delivered,36.0,Female,13363.0,20879.68,7516.68,13191.28,0.6318,2024,2,Feb,1,5,Thursday,False,1,0
ORD00069,CUST0647,Customer_647,2024-11-27,Beauty,Tools,Tools Item 22,3.0,3342.3,0.04,339.19,Credit Card,Express,Mumbai,Maharashtra,West,Delivered,59.0,Female,9625.82,10026.9,401.08,9286.63,0.9262,2024,11,Nov,4,48,Wednesday,False,1,0
ORD00070,CUST0318,Customer_318,2024-10-13,Clothing,Accessories,Accessories Item 43,4.0,32192.49,0.13,63.9,Net Banking,Same Day,Delhi,Delhi,North,Delivered,29.0,Female,112029.87,128769.96,16740.09,111965.97,0.8695,2024,10,Oct,4,41,Sunday,True,1,0
ORD00071,CUST0141,Customer_141,2024-03-20,Books,Non-Fiction,Non-Fiction Item 40,1.0,14824.82,0.32,253.84,Debit Card,Economy,Hyderabad,Telangana,South,Delivered,62.0,Male,10080.88,14824.82,4743.94,9827.04,0.6629,2024,3,Mar,1,12,Wednesday,False,1,0
ORD00072,CUST0421,Customer_421,2024-07-05,Beauty,Fragrances,Fragrances Item 13,2.0,48480.95,0.24,376.2,UPI,Economy,Mumbai,Maharashtra,West,Returned,42.0,Female,73691.04,96961.9,23270.86,73314.84,0.7561,2024,7,Jul,3,27,Friday,False,0,1
ORD00073,CUST0142,Customer_142,2024-05-08,Clothing,Women's Wear,Women's Wear Item 18,1.0,32076.89,0.35,277.27,Net Banking,Express,Lucknow,Uttar Pradesh,North,Returned,32.0,Female,20849.98,32076.89,11226.91,20572.71,0.6414,2024,5,May,2,19,Wednesday,False,0,1
ORD00074,CUST0406,Customer_406,2024-09-14,Electronics,Tablets,Tablets Item 9,3.0,25928.08,0.4,187.46,Credit Card,Same Day,Mumbai,Maharashtra,West,Returned,26.0,Female,46670.54,77784.24,31113.7,46483.08,0.5976,2024,9,Sep,3,37,Saturday,True,0,1
ORD00075,CUST0082,Customer_82,2024-01-10,Books,Self-Help,Self-Help Item 16,3.0,10821.95,0.06,470.11,Net Banking,Economy,Mumbai,Maharashtra,West,Delivered,49.0,Male,30517.9,32465.85,1947.95,30047.79,0.9255,2024,1,Jan,1,2,Wednesday,False,1,0
ORD00076,CUST0248,Customer_248,2024-03-14,Beauty,Tools,Tools Item 34,3.0,21490.48,0.25,120.28,Cash on Delivery,Standard,Lucknow,Uttar Pradesh,North,Returned,20.0,Female,48353.58,64471.44,16117.86,48233.3,0.7481,2024,3,Mar,1,11,Thursday,False,0,1
ORD00077,CUST0070,Customer_70,2024-06-25,Home & Kitchen,Cookware,Cookware Item 12,2.0,36660.4,0.25,385.75,Wallet,Economy,Kolkata,West Bengal,East,Pending,29.0,Male,54990.6,73320.8,18330.2,54604.85,0.7447,2024,6,Jun,2,26,Tuesday,False,0,0
ORD00078,CUST0301,Customer_301,2024-04-13,Beauty,Fragrances,Fragrances Item 42,1.0,39565.91,0.35,157.8,Debit Card,Same Day,Mumbai,Maharashtra,West,Delivered,21.0,Female,25717.84,39565.91,13848.07,25560.04,0.646,2024,4,Apr,2,15,Saturday,True,1,0
ORD00079,CUST0448,Customer_448,2024-07-23,Home & Kitchen,Cookware,Cookware Item 47,4.0,44737.14,0.15,486.86,Net Banking,Standard,Kolkata,West Bengal,East,Returned,29.0,Female,152106.28,178948.56,26842.28,151619.42,0.8473,2024,7,Jul,3,30,Tuesday,False,0,1
ORD00080,CUST0677,Customer_677,2024-05-31,Electronics,Smartphones,Smartphones Item 28,3.0,22323.49,0.29,83.32,UPI,Standard,Kolkata,West Bengal,East,Delivered,43.0,Other,47549.03,66970.47,19421.44,47465.71,0.7088,2024,5,May,2,22,Friday,False,1,0
ORD00081,CUST0147,Customer_147,2024-11-07,Beauty,Haircare,Haircare Item 24,4.0,1788.21,0.03,389.26,UPI,Economy,Mumbai,Maharashtra,West,Delivered,51.0,Female,6938.25,7152.84,214.59,6548.99,0.9156,2024,11,Nov,4,45,Thursday,False,1,0
ORD00082,CUST0117,Customer_117,2024-01-14,Beauty,Makeup,Makeup Item 32,2.0,24977.25,0.15,280.84,Debit Card,Standard,Hyderabad,Telangana,South,Delivered,46.0,Other,42461.32,49954.5,7493.18,42180.48,0.8444,2024,1,Jan,1,2,Sunday,True,1,0
ORD00083,CUST0684,Customer_684,2024-06-26,Books,Fiction,Fiction Item 15,1.0,27522.36,0.12,149.98,Credit Card,Express,Kolkata,West Bengal,East,Delivered,49.0,Other,24219.68,27522.36,3302.68,24069.7,0.8746,2024,6,Jun,2,26,Wednesday,False,1,0
ORD00084,CUST0565,Customer_565,2024-03-07,Sports,Football,Football Item 9,5.0,44218.11,0.03,199.08,UPI,Standard,Ahmedabad,Gujarat,West,Returned,51.0,Other,214457.83,221090.55,6632.72,214258.75,0.9691,2024,3,Mar,1,10,Thursday,False,0,1
ORD00085,CUST0787,Customer_787,2024-03-07,Beauty,Tools,Tools Item 34,4.0,25168.05,0.35,415.7,UPI,Standard,Bengaluru,Karnataka,South,Delivered,53.0,Other,65436.93,100672.2,35235.27,65021.23,0.6459,2024,3,Mar,1,10,Thursday,False,1,0
ORD00086,CUST0096,Customer_96,2024-09-14,Home & Kitchen,Bedding,Bedding Item 2,2.0,29610.83,0.23,85.6,Credit Card,Standard,Jaipur,Rajasthan,North,Pending,34.0,Other,45600.68,59221.66,13620.98,45515.08,0.7686,2024,9,Sep,3,37,Saturday,True,0,0
ORD00087,CUST0510,Customer_510,2024-11-17,Books,Self-Help,Self-Help Item 29,5.0,14519.1,0.38,241.47,Net Banking,Economy,Mumbai,Maharashtra,West,Returned,56.0,Other,45009.21,72595.5,27586.29,44767.74,0.6167,2024,11,Nov,4,46,Sunday,True,0,1
ORD00088,CUST0134,Customer_134,2024-07-08,Home & Kitchen,Decor,Decor Item 40,5.0,28104.48,0.13,233.24,Net Banking,Express,Pune,Maharashtra,West,Delivered,54.0,Male,122254.49,140522.4,18267.91,122021.25,0.8683,2024,7,Jul,3,28,Monday,False,1,0
ORD00089,CUST0479,Customer_479,2024-09-12,Clothing,Footwear,Footwear Item 39,3.0,24893.65,0.04,196.62,Wallet,Economy,Jaipur,Rajasthan,North,Delivered,24.0,Female,71693.71,74680.95,2987.24,71497.09,0.9574,2024,9,Sep,3,37,Thursday,False,1,0
ORD00090,CUST0375,Customer_375,2024-01-24,Beauty,Makeup,Makeup Item 40,4.0,2605.33,0.22,181.26,Wallet,Standard,Pune,Maharashtra,West,Delivered,43.0,Female,8128.63,10421.32,2292.69,7947.37,0.7626,2024,1,Jan,1,4,Wednesday,False,1,0
ORD00091,CUST0204,Customer_204,2024-11-04,Sports,Football,Football Item 9,5.0,20099.28,0.02,19.46,UPI,Same Day,Bengaluru,Karnataka,South,Delivered,57.0,Female,98486.47,100496.4,2009.93,98467.01,0.9798,2024,11,Nov,4,45,Monday,False,1,0
ORD00092,CUST0522,Customer_522,2024-09-29,Sports,Football,Football Item 47,4.0,35451.55,0.12,407.87,Wallet,Standard,Jaipur,Rajasthan,North,Cancelled,59.0,Other,124789.46,141806.2,17016.74,124381.59,0.8771,2024,9,Sep,3,39,Sunday,True,0,0
ORD00093,CUST0598,Customer_598,2024-09-02,Sports,Cricket,Cricket Item 13,2.0,26235.41,0.29,387.3,Credit Card,Economy,Mumbai,Maharashtra,West,Delivered,44.0,Female,37254.28,52470.82,15216.54,36866.98,0.7026,2024,9,Sep,3,36,Monday,False,1,0
